,frame,filename,corrcoeff
7,7,20170924_A12_tower_EO_12mm_0007.TIF,0.7247055930629689
60,60,20170924_A12_tower_EO_12mm_0060.TIF,0.65623629529022
116,116,20170924_A12_tower_EO_12mm_0116.TIF,0.7307889890192831
137,137,20170924_A12_tower_EO_12mm_0137.TIF,0.7455682103208616
177,177,20170924_A12_tower_EO_12mm_0177.TIF,0.8280561390471844
244,244,20170924_A12_tower_EO_12mm_0244.TIF,0.8062302923874274
388,388,20170924_A12_tower_EO_12mm_0388.TIF,0.7908256575773709
446,446,20170924_A12_tower_EO_12mm_0446.TIF,0.8935618364269071
475,475,20170924_A12_tower_EO_12mm_0475.TIF,0.49813514598265923
528,528,20170924_A12_tower_EO_12mm_0528.TIF,0.5563266987043837
534,534,20170924_A12_tower_EO_12mm_0534.TIF,0.6713245957591587
609,609,20170924_A12_tower_EO_12mm_0609.TIF,0.6983013954422125
630,630,20170924_A12_tower_EO_12mm_0630.TIF,0.6946263338087257
644,644,20170924_A12_tower_EO_12mm_0644.TIF,0.5611134470311492
686,686,20170924_A12_tower_EO_12mm_0686.TIF,0.6108621902508663
702,702,20170924_A12_tower_EO_12mm_0702.TIF,0.8506064057538486
711,711,20170924_A12_tower_EO_12mm_0711.TIF,0.7697636066674468
943,943,20170924_A12_tower_EO_12mm_0943.TIF,0.6462237559531685
1092,1092,20170924_A12_tower_EO_12mm_1092.TIF,0.5931914511700712
1170,1170,20170924_A12_tower_EO_12mm_1170.TIF,0.8112473755765796
1326,1326,20170924_A12_tower_EO_12mm_1326.TIF,0.6596000496369002
1379,1379,20170924_A12_tower_EO_12mm_1379.TIF,0.778396703796996
